"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-08","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2404725","A","","","0"
"2024-09","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2387640","A","","","0"
"2024-10","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2452170","A","","","0"
"2024-11","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2431765","A","","","0"
"2024-12","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2420200","A","","","0"
"2024-08","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.8","A","","","1"
"2024-09","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.0","A","","","1"
"2024-10","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.5","B","","","1"
"2024-11","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.4","B","","","1"
"2024-12","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","2.7","B","","","1"
"2024-08","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1212389397","12.1","700","E","","","0"
"2024-09","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1212389397","12.1","1165","D","","","0"
"2024-10","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1212389397","12.1","800","E","","","0"
"2024-11","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1212389397","12.1","450","E","","","0"
"2024-12","Yukon","2016A000260","Job vacancies","Number","223","units","0","v1212389397","12.1","","F","","","0"
"2024-08","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1212389396","12.3","20685","A","","","0"
"2024-09","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1212389396","12.3","20920","A","","","0"
"2024-10","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1212389396","12.3","20605","A","","","0"
"2024-11","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1212389396","12.3","20720","A","","","0"
"2024-12","Yukon","2016A000260","Payroll employees","Number","223","units","0","v1212389396","12.3","19755","D","","","0"
"2024-08","Yukon","2016A000260","Job vacancy rate","Percent","239","units","0","v1212389398","12.4","3.3","D","","","1"
"2024-09","Yukon","2016A000260","Job vacancy rate","Percent","239","units","0","v1212389398","12.4","5.3","D","","","1"
"2024-10","Yukon","2016A000260","Job vacancy rate","Percent","239","units","0","v1212389398","12.4","3.7","E","","","1"
"2024-11","Yukon","2016A000260","Job vacancy rate","Percent","239","units","0","v1212389398","12.4","2.1","E","","","1"
"2024-12","Yukon","2016A000260","Job vacancy rate","Percent","239","units","0","v1212389398","12.4","","F","","","1"
"2024-08","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1212389400","13.1","770","D","","","0"
"2024-09","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1212389400","13.1","1250","D","","","0"
"2024-10","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1212389400","13.1","1200","E","","","0"
"2024-11","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1212389400","13.1","920","D","","","0"
"2024-12","Northwest Territories","2016A000261","Job vacancies","Number","223","units","0","v1212389400","13.1","820","D","","","0"
"2024-08","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1212389399","13.3","22875","A","","","0"
"2024-09","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1212389399","13.3","22735","A","","","0"
"2024-10","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1212389399","13.3","22510","B","","","0"
"2024-11","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1212389399","13.3","22330","A","","","0"
"2024-12","Northwest Territories","2016A000261","Payroll employees","Number","223","units","0","v1212389399","13.3","21805","A","","","0"
"2024-08","Northwest Territories","2016A000261","Job vacancy rate","Percent","239","units","0","v1212389401","13.4","3.3","D","","","1"
"2024-09","Northwest Territories","2016A000261","Job vacancy rate","Percent","239","units","0","v1212389401","13.4","5.2","D","","","1"
"2024-10","Northwest Territories","2016A000261","Job vacancy rate","Percent","239","units","0","v1212389401","13.4","5.1","D","","","1"
"2024-11","Northwest Territories","2016A000261","Job vacancy rate","Percent","239","units","0","v1212389401","13.4","3.9","D","","","1"
"2024-12","Northwest Territories","2016A000261","Job vacancy rate","Percent","239","units","0","v1212389401","13.4","3.6","D","","","1"
"2024-08","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1212389403","14.1","","F","","","0"
"2024-09","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1212389403","14.1","","F","","","0"
"2024-10","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1212389403","14.1","","F","","","0"
"2024-11","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1212389403","14.1","590","D","","","0"
"2024-12","Nunavut","2016A000262","Job vacancies","Number","223","units","0","v1212389403","14.1","","F","","","0"
"2024-08","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1212389402","14.3","17565","C","","","0"
"2024-09","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1212389402","14.3","17520","A","","","0"
"2024-10","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1212389402","14.3","17255","A","","","0"
"2024-11","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1212389402","14.3","17230","A","","","0"
"2024-12","Nunavut","2016A000262","Payroll employees","Number","223","units","0","v1212389402","14.3","16935","A","","","0"
"2024-08","Nunavut","2016A000262","Job vacancy rate","Percent","239","units","0","v1212389404","14.4","","F","","","1"
"2024-09","Nunavut","2016A000262","Job vacancy rate","Percent","239","units","0","v1212389404","14.4","","F","","","1"
"2024-10","Nunavut","2016A000262","Job vacancy rate","Percent","239","units","0","v1212389404","14.4","2.6","E","","","1"
"2024-11","Nunavut","2016A000262","Job vacancy rate","Percent","239","units","0","v1212389404","14.4","3.3","D","","","1"
"2024-12","Nunavut","2016A000262","Job vacancy rate","Percent","239","units","0","v1212389404","14.4","","F","","","1"


